14832,3568,1504,-427,-462,-101
15008,3984,112,-442,-471,-34
14320,5904,-3136,-413,-518,72
12496,5984,-7440,-389,-528,159
9648,4128,-12384,-167,-431,462
5808,1376,-15600,11,-286,560
2256,-544,-16672,154,-207,570
-688,-5200,-16528,334,75,528
-3776,-7696,-14384,440,174,443
-8528,-6608,-13520,576,124,343
-13024,-7808,-6384,676,120,165
-14144,-8080,1200,658,54,-188
-13344,-6176,7392,605,-43,-283
-10592,-5216,12736,506,-117,-368
-7744,-3360,14432,373,-223,-425
-3600,32,16992,213,-328,-441
1888,2144,16928,70,-397,-425
5808,2416,15216,-43,-432,-396
8080,-2576,13744,-139,-167,-466
10032,-5984,11072,-192,-8,-460
9136,-10640,7616,-159,306,-385
10704,-10320,5648,-163,478,-251
11328,-10016,3584,-222,532,-127
12704,-9536,224,-276,547,30
13888,-6880,-1472,-352,460,223
13600,-7312,-4400,-348,357,357
13408,-5104,-7440,-355,157,462
14704,1008,-5040,-419,-162,430
14992,2736,1920,-468,-451,51
12528,3328,8896,-389,-450,-181
10272,1968,12048,-309,-398,-298
5984,-1136,15520,-182,-309,-412
2224,352,17008,4,-335,-448
-3360,1568,16608,133,-393,-425
-4592,2240,15184,184,-388,-420
-8032,3792,14800,338,-452,-339
-11792,4144,11520,427,-461,-275
-12048,4944,10832,439,-476,-248
-14912,4480,7104,484,-483,-194
-14208,6000,7040,474,-512,-164
-14864,6368,3136,494,-533,-87
-14720,6928,528,497,-545,-34
-13520,7888,-7264,425,-562,213
-12048,6304,-10992,382,-530,305
-11328,5232,-9120,366,-509,344
-8752,4112,-14016,288,-472,417
-6528,4400,-15136,169,-470,455
-2368,5280,-16208,44,-492,451
64,4880,-16592,-37,-479,451
1728,4608,-15456,-99,-473,445
7520,3440,-9936,-286,-481,349
11904,2176,-9456,-436,-394,283
13776,672,-7536,-469,-384,229
14112,-2144,-6288,-564,-208,193
13040,-7472,-2416,-606,-58,107
12000,-10496,32,-603,44,37
7968,-14320,32,-507,328,22
3280,-15312,-4816,-365,477,135
928,-12640,-10272,-292,484,249
128,-8304,-14224,-252,399,390
-192,-2048,-16112,-245,148,515
768,8528,-14320,-235,-215,522
2016,13408,-9248,-283,-393,424
1408,16384,-1680,-279,-594,174
128,15232,5472,-223,-641,1
-5584,12336,12272,-32,-648,-173
-8304,6640,12144,147,-556,-303
-10448,4208,13328,293,-462,-345
-10672,-1600,13792,357,-259,-422
-7392,-7680,12416,352,-36,-454
-3552,-12144,7792,201,312,-404
2640,-16000,3104,48,481,-294
6208,-15504,-1248,-134,513,-212
7216,-14048,-3568,-170,553,-108
10800,-10064,-3888,-394,440,-52
13584,-7472,-3312,-455,381,-47
13520,-6000,-5296,-479,365,48
14048,-1344,-6064,-520,263,194
15152,1920,-3888,-542,205,207
15504,1600,1472,-570,182,110
14640,1632,4864,-553,180,-73
13152,5424,1696,-605,3,123
13136,6976,-5216,-558,-43,275
9200,5872,-12464,-440,9,424
3216,5152,-15008,-165,83,558
-3744,2576,-15840,99,131,572
-7632,-4400,-15200,194,250,524
-6032,-9648,-11632,48,452,416
-4896,-11936,-8448,-67,525,327
-6528,-14960,1616,-45,599,176
-13184,-7504,5824,318,486,-208
-10448,-5568,11664,258,400,-333
-8608,-4384,14272,189,379,-364
-4736,-4432,14656,191,413,-342
144,-3424,15872,-71,342,-386
5568,4656,14400,-339,10,-381
7840,7056,12016,-437,-45,-308
10096,9296,8640,-484,-138,-246
11136,7744,7904,-523,-63,-205
12720,6400,7152,-533,-20,-193
13120,8432,3248,-575,-62,-106
14480,7312,688,-600,-50,-5
13648,6720,-4416,-604,-53,88
13776,5760,-5312,-599,22,140
14000,4224,-5872,-594,-4,159
15008,2928,-3664,-592,48,-10
14960,2208,368,-548,51,-145
16208,2144,4192,-461,-12,-277
15120,3728,1440,-493,-201,-204
16112,-560,-1744,-561,-218,-65
14880,-3696,-1840,-590,-142,-8
13920,-7184,1104,-596,-65,-23
12560,-8176,3088,-574,26,-107
11120,-9152,5792,-537,67,-170
9872,-10128,7408,-508,108,-202
7264,-12000,7568,-422,233,-253
5296,-14528,5344,-364,352,-220
2480,-15616,-3312,-292,514,-57
1040,-6528,-15360,-225,487,302
1840,7680,-14144,-189,-125,552
-432,11536,-12432,-122,-254,545
-4816,11904,-8832,192,-246,545
-2608,16080,-5760,275,-503,383
784,14432,-3376,163,-591,330
8272,13904,3344,-105,-670,138
11344,10688,5584,-205,-644,67
12496,7904,4464,-318,-569,-41
13536,6592,2416,-346,-553,-21
11408,9728,-3392,-258,-614,75
10912,10336,-5232,-177,-640,140
11168,9504,-4064,-242,-624,92
9712,10912,-2976,-175,-659,35
3504,16352,-2400,33,-698,25
3360,16800,3936,214,-643,-150
2512,9824,12224,214,-509,-323
6176,7584,12080,104,-425,-399
7984,3056,13488,-41,-327,-437
5920,-176,14576,-1,-268,-461
6752,-2384,15648,-48,-205,-470
-848,-9344,13904,-35,-28,-489
-11792,-6720,9600,371,24,-433
-14384,496,6816,479,-131,-375
-15952,5648,4992,518,-152,-347
-16048,3824,1360,660,-50,-179
-16624,2688,-3088,697,53,-32
-15408,2464,-7312,659,144,160
-10704,464,-13920,547,193,330
-5968,848,-15840,241,234,506
464,4304,-16208,55,104,572
4352,6464,-15232,-99,26,572
6448,7568,-12816,-224,-56,541
3360,8864,-2608,-180,10,555
10848,7680,-10000,-399,-42,448
12320,9264,-3168,-526,-148,297
12800,9200,2656,-588,-167,58
12640,9152,-1808,-597,-135,72
11296,2944,-8624,-596,-106,120
10272,-5648,-10496,-562,34,242
10176,-7536,-9392,-553,61,255
11776,-10512,-5984,-565,106,216
10880,-9824,-1088,-586,94,144
9680,-11840,6128,-538,193,-97
6544,-10128,10224,-461,197,-224
5648,-8784,11792,-428,227,-249
4576,-8608,13120,-401,238,-267
4032,-688,15408,-397,24,-340
3376,8368,13968,-361,-238,-336
3616,14704,6368,-348,-503,-149
2928,14112,4848,-364,-519,-87
4512,15984,-704,-385,-529,25
7296,14640,-4848,-438,-467,128
8960,13216,-4656,-514,-364,104
9456,13008,848,-495,-346,-103
8048,11600,7472,-338,-269,-337
6928,13840,2160,-322,-387,-286
1728,16400,-1840,-29,-642,-173
32,15744,2752,48,-601,-249
1600,11728,11904,84,-315,-454
6176,-9664,15296,48,283,-428
3984,-6432,16144,82,373,-375
6992,-10112,11248,3,420,-338
3888,-11440,10672,87,532,-221
2016,-10208,11792,181,493,-252
816,-11680,11664,228,483,-249
-2800,-11936,14576,238,494,-234
2048,-13776,8688,219,512,-220
1184,-17392,4752,266,549,-113
1904,-18032,544,270,570,-48
720,-16400,-1728,260,573,-8
1648,-16000,-2912,228,588,44
1760,-15968,-3856,205,597,51
2304,-15280,-4960,171,603,64
-384,-14192,-7568,179,599,78
-7056,-14352,-5856,330,545,-11
-9168,-13744,-3568,363,525,-50
-11344,-12560,-4320,344,531,-48
-12656,-10368,-4112,370,527,19
-14800,-8208,-5984,428,475,137
-12640,-6464,-7744,405,443,247
-10176,-6992,-11344,308,455,319
-6576,-3936,-15488,52,316,502
-8240,-6096,-13840,31,327,494
-7472,-6192,-13936,81,352,477
-9440,-7008,-12464,162,395,437
-6848,-6288,-14880,133,385,453
-3952,-5520,-16480,42,368,471
3280,-16,-16032,-151,278,492
6768,1360,-14624,-261,193,488
11088,3728,-9872,-348,83,473
13520,3216,-8176,-448,103,388
14000,3120,-6720,-496,136,319
15440,2160,2896,-578,147,108
15072,-912,3312,-563,199,67
11312,-5312,12176,-499,279,-85
5280,-1712,13936,-296,424,-208
-672,-4992,14816,-70,415,-335
-10144,-4064,12160,227,345,-373
-13984,-5568,7568,428,397,-227
-15248,-5568,4688,481,395,-167
-15952,-5328,-1232,524,406,-28
-11664,-7200,-8016,531,394,118
-9744,-5920,-11680,413,420,283
-5504,-5072,-15136,280,408,389
96,-3776,-16720,168,367,455
6080,-4688,-14352,-145,401,421
11744,-4176,-10176,-332,377,334
13008,-1264,-5424,-474,322,209
15200,-2720,-3472,-508,305,123
15136,256,-3040,-575,110,-35
15168,2128,-3008,-583,-59,-68
14320,1856,-1936,-558,-223,-64
14704,2992,-3408,-463,-422,177
15200,3072,-3344,-463,-388,229
15200,784,816,-511,-371,98
13840,288,6608,-561,-269,53
13952,1232,4176,-591,-142,126
13680,3776,2288,-587,-147,151
14272,6400,-1248,-581,-59,205
15072,4992,-2320,-596,25,134
14720,5008,-2992,-593,50,148
13568,5008,-3936,-594,23,148
11888,7872,-8064,-569,-22,236
8400,7504,-12352,-386,-64,456
9216,5120,-11536,-322,-46,498
11632,11424,-7168,-396,-165,437
9344,12768,-336,-286,-522,290
10016,16016,17664,-161,-652,124
8528,11616,3168,-125,-664,124
8672,13760,4464,-47,-685,-33
10288,12464,2592,-114,-672,-28
6736,15696,-4704,3,-692,133
1776,14160,-6432,138,-692,136
-688,13088,-9792,319,-609,220
-3488,10432,-11184,433,-505,274
-8416,8416,-12288,552,-412,234
-9632,5104,-12032,595,-340,231
-10880,5648,-14256,609,-272,259
-12896,-3984,-13328,635,-129,277
-15120,-5968,-3776,685,-103,177
-17200,-3328,368,694,-217,32
-17088,-4864,720,700,-200,34
-15888,-2704,-528,690,-232,18
-16896,2304,4000,664,-305,6
-16160,-480,5344,662,-282,-66
-14016,128,11936,628,-272,-173
-7392,3008,13744,410,-423,-309
-7056,6832,10432,384,-574,-156
-2464,9232,12144,173,-637,-181
3920,8048,14096,-58,-621,-204
6784,9232,10224,-181,-600,-171
9648,5088,8592,-414,-488,-58
11920,3616,8352,-479,-415,-19
13136,5424,9168,-520,-346,-30
14352,3184,5632,-554,-294,85
14640,2336,5104,-573,-235,121
15152,2416,-2144,-575,142,159
15632,4592,448,-593,113,100
15840,7536,4624,-547,36,-159
13936,3392,5680,-504,21,-232
10960,1296,10144,-297,55,-403
6928,4208,14208,50,-115,-498
2816,5408,14352,205,-246,-464
2800,8736,13584,204,-315,-444
3840,14288,8304,212,-575,-270
4288,15168,3456,153,-676,-109
5456,15664,-1984,115,-703,19
4320,14768,-5200,115,-684,164
3120,13648,-6880,196,-651,221
2784,14608,-6592,236,-641,224
1504,15552,-3760,256,-616,257
848,14976,-8512,300,-632,196
-1248,7184,-14928,374,-322,456
-4272,-2752,-15280,439,61,464
-9344,-5264,-13984,569,117,343
-11904,-2704,-12016,672,63,186
-14656,-6832,-6656,685,132,-8
-14000,-9984,3248,637,129,-172
-10864,-8640,9024,584,13,-286
-6704,-14480,-3072,528,408,-4
-3776,-448,-16720,462,71,450
-80,9776,-14544,341,-357,454